2000,11.14
2001,12.08
2002,10.57
2003,11.26
2004,17.62
2005,19.02
2006,26.46
2007,29.71
2008,53.93
2009,54.07
2010,59
2011,53.66
2012,54.51
2013,60.45
2014,82.24
2015,92.15
2016,97.46
2017,105.15
2018,107.56
2019,105.61
2020,115.03
2021,118.19
